timeseries_id;datapoints
00b87c59-3882-11e8-8680-0242ac120002;23.81
00b87c59-3882-11e8-8680-0242ac120002;26.59
00b87c59-3882-11e8-8680-0242ac120002;31.47
00b87c59-3882-11e8-8680-0242ac120002;29.71
00b87c59-3882-11e8-8680-0242ac120002;30.51
00b87c59-3882-11e8-8680-0242ac120002;26.69
00b87c59-3882-11e8-8680-0242ac120002;26.81
00b87c59-3882-11e8-8680-0242ac120002;31.58
00b87c59-3882-11e8-8680-0242ac120002;29.6
00b87c59-3882-11e8-8680-0242ac120002;29.31
00b87c59-3882-11e8-8680-0242ac120002;27.17
00b87c59-3882-11e8-8680-0242ac120002;27.52
00b87c59-3882-11e8-8680-0242ac120002;28.88
00b87c59-3882-11e8-8680-0242ac120002;28.31
00b87c59-3882-11e8-8680-0242ac120002;26.9
00b87c59-3882-11e8-8680-0242ac120002;23.46
00b87c59-3882-11e8-8680-0242ac120002;23.01
00b87c59-3882-11e8-8680-0242ac120002;21.86
00b87c59-3882-11e8-8680-0242ac120002;22.7
00b87c59-3882-11e8-8680-0242ac120002;23.67
00b87c59-3882-11e8-8680-0242ac120002;27.05
00b87c59-3882-11e8-8680-0242ac120002;26.05
00b87c59-3882-11e8-8680-0242ac120002;26.75
00b87c59-3882-11e8-8680-0242ac120002;25.82
00b87c59-3882-11e8-8680-0242ac120002;27.75
00b87c59-3882-11e8-8680-0242ac120002;25
00b87c59-3882-11e8-8680-0242ac120002;24.12
00b87c59-3882-11e8-8680-0242ac120002;22.4
00b87c59-3882-11e8-8680-0242ac120002;25.05
00b87c59-3882-11e8-8680-0242ac120002;24.23
00b87c59-3882-11e8-8680-0242ac120002;24.83
00b87c59-3882-11e8-8680-0242ac120002;24.87
00b87c59-3882-11e8-8680-0242ac120002;26.83
00b87c59-3882-11e8-8680-0242ac120002;27.21
00b87c59-3882-11e8-8680-0242ac120002;27.49
00b87c59-3882-11e8-8680-0242ac120002;27.79
00b87c59-3882-11e8-8680-0242ac120002;27.7
00b87c59-3882-11e8-8680-0242ac120002;27.36
00b87c59-3882-11e8-8680-0242ac120002;25.46
00b87c59-3882-11e8-8680-0242ac120002;25.83
00b87c59-3882-11e8-8680-0242ac120002;24.41
00b87c59-3882-11e8-8680-0242ac120002;22.4
00b87c59-3882-11e8-8680-0242ac120002;22.78
00b87c59-3882-11e8-8680-0242ac120002;20.58
00b87c59-3882-11e8-8680-0242ac120002;19.76
00b87c59-3882-11e8-8680-0242ac120002;18.97
00b87c59-3882-11e8-8680-0242ac120002;20.77
00b87c59-3882-11e8-8680-0242ac120002;20.61
00b87c59-3882-11e8-8680-0242ac120002;21.18
00b87c59-3882-11e8-8680-0242ac120002;21.16
00b87c59-3882-11e8-8680-0242ac120002;21.94
